time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-01-01 00:00:00,0,189.786001586914,-27.8699981689453,80.6797399349176,3.3790726106968,0,0
1979-01-02 00:00:00,45.1962080001831,184.377499898275,-25.9604165395101,81.3032415155219,3.81467242420461,0,0
1979-01-03 00:00:00,27.3345414797465,207.025418599447,-21.6524992624918,79.2617128719356,5.88078006168703,0,0
1979-01-04 00:00:00,57.364249865214,175.770833969116,-24.9266672770182,78.2079835318503,5.55469940846468,0,0
1979-01-05 00:00:00,69.6260825792948,165.644584655762,-24.4054155985514,79.546259378474,6.29775277583606,0,0
1979-01-06 00:00:00,46.3802914619446,221.110001246134,-19.1445831298828,81.1442679262604,5.34543732624782,0,0
1979-01-07 00:00:00,55.7847496668498,195.152083714803,-20.5104164123535,78.4772971460774,3.63932318222013,0,0
1979-01-08 00:00:00,23.4766249656677,222.672082265218,-19.189166132609,83.3692812616009,5.16911242574729,0,0.00701100021600723
1979-01-09 00:00:00,59.6032501856486,191.789169311523,-21.1566661834717,80.6134621756038,4.11693464493588,0,0
1979-01-10 00:00:00,57.5307501157125,188.902500788371,-23.4683326721191,81.0364900066869,3.66868443811591,0,0
1979-01-11 00:00:00,72.342499256134,153.660001118978,-24.8600003560384,78.3435340014838,3.13156566825222,0,0
1979-01-12 00:00:00,46.6144169171651,189.579167048136,-22.6020848592122,77.8339792736681,2.28602095176679,0,0.00101199999451637
1979-01-13 00:00:00,76.534582455953,152.1875,-25.7862508138021,78.0885280982898,3.06170322903729,0,0
1979-01-14 00:00:00,67.3326239585876,175.109580357869,-26.3979165395101,79.9221282149649,4.88258829220224,0,0
1979-01-15 00:00:00,79.6899175643921,148.777081807454,-25.5491667429606,80.4262632477899,3.97861018346454,0,0
1979-01-16 00:00:00,76.8849585851033,166.282084147135,-26.2320821126302,78.5172269215716,3.09763923684168,0,0.0151199999451637
1979-01-17 00:00:00,65.2690836588542,203.657917022705,-17.7370806376139,80.7025971426057,1.94076707328357,0,0.0143290002644062
1979-01-18 00:00:00,75.7534166971842,180.138333002726,-18.9908342997233,81.5326502261521,4.73060521029142,0,0.00643999997526407
1979-01-19 00:00:00,43.1081244150798,277.575835545858,-8.19708353678383,89.0483193426171,3.53284730598884,0,0.0273680002242327
1979-01-20 00:00:00,23.4645836353302,268.298749923706,-7.58583552042641,90.0330918874169,1.93920393230924,0,0.0154599997401237
1979-01-21 00:00:00,47.106790860494,268.955413818359,-7.40916544596352,91.817755222012,3.72721367850953,0,0.00123199999332428
1979-01-22 00:00:00,65.8647089600563,239.734165827433,-12.1404136657715,87.0624528855377,3.14728292075644,0,0
1979-01-23 00:00:00,70.4427088101705,212.20499865214,-18.1670809427897,83.947136444658,3.48230325162844,0,0
1979-01-24 00:00:00,84.4683742125829,174.592501322428,-20.0350015004476,75.1761292579771,2.04043732269809,0,0
1979-01-25 00:00:00,56.7448327938716,215.09625116984,-18.6908350626627,78.268253368698,2.28251813154212,0,0.00155099995434284
1979-01-26 00:00:00,57.7153333425522,270.914998372396,-9.43166580200193,83.8446979927059,1.80312907143085,0,0.0101509997993708
1979-01-27 00:00:00,66.6707508166631,270.080001831055,-8.20000050862628,88.7896850789903,4.25392481258962,0,0.022725999802351
1979-01-28 00:00:00,37.2366246581078,259.767082214355,-10.18125,88.2166971332194,4.01385625405928,0,0.0138210002891719
1979-01-29 00:00:00,23.0334167679151,256.812501271566,-11.6833353678385,89.0574960162791,2.23223784790879,0,0
1979-01-30 00:00:00,47.2512499888738,251.292499542236,-12.2883298238118,86.5989335913943,2.29903272364152,0,0
1979-01-31 00:00:00,46.3749582916498,240.307081858317,-14.137501780192,85.6178898185037,2.46343459925825,0,0.00091000001411885
1979-02-01 00:00:00,76.5645822485288,235.185832977295,-13.4216649373372,78.9513894169338,3.09166663553323,0,0.000278000000398606
1979-02-02 00:00:00,59.3801249663035,238.079584757487,-14.6879155476888,84.43418762754,2.44145091423606,0,0.00755899984389543
1979-02-03 00:00:00,29.7651250362396,220.474999109904,-19.0620826721191,81.2996253921956,3.59538025300568,0,0.000223999992012978
1979-02-04 00:00:00,89.7996247609456,187.866664886475,-23.2387495676676,79.7641252666751,5.55005819174025,0,0.00859999999403954
1979-02-05 00:00:00,82.282458225886,214.944166183472,-22.6616672515869,79.7962796844235,4.82042337821313,0,0.00773599992506206
1979-02-06 00:00:00,33.4365837574005,229.410833358765,-18.1820835113525,81.4315115869252,3.57062528073404,0,0.0270710001187399
1979-02-07 00:00:00,80.0415827433268,192.640832265218,-21.6083339691162,80.9398505224964,4.08662488320532,0,0
1979-02-08 00:00:00,110.136415799459,150.820000330607,-25.7170839945475,77.4469343109802,3.01456057422062,0,0
1979-02-09 00:00:00,110.187833944956,165.319167455037,-24.09500096639,76.6592736305948,4.32023712051248,0,0.000989999994635582
1979-02-10 00:00:00,59.3800832430522,198.965002059937,-23.7766663869222,76.9855084543566,3.54394305946229,0,0.0036259999871254
1979-02-11 00:00:00,82.9214585622152,233.461250940959,-16.8387474060058,81.2656150535445,2.57585541583114,0,0.00168200001120567
1979-02-12 00:00:00,48.1580425103505,220.491250356038,-19.6379156748454,82.572027593155,2.52287070850244,0,0.00513200007379055
1979-02-13 00:00:00,94.09512535731,217.63375155131,-17.5462529500325,82.6879017084732,4.33283526926236,0,0.0562800009548664
1979-02-14 00:00:00,87.0191256205241,259.902497609456,-10.7137512207031,85.7515799968868,3.43205890716184,0,0.0205410001799464
