"DateTime","Depth","Observed_temp","Modeled_temp"
1991-04-02,0.99998784,2,3.3930370690505
1991-04-02,1.99997568,2,3.48343666112111
1991-04-02,2.99996352,2,3.48343666112111
1991-04-02,3.99995136,2.1,3.48343666112111
1991-04-02,4.9999392,2.3,3.48343666112111
1991-04-02,5.99992704,2.5,3.48343666112111
1991-04-02,6.99991488,2.5,3.48343666112111
1991-04-02,7.99990272,2,3.48343666112111
1991-05-29,0,19,17.1892229312078
1991-05-29,0.99998784,19,17.1892229311876
1991-05-29,1.99997568,19,17.1892227756054
1991-05-29,2.99996352,18,17.1891949009529
1991-05-29,3.99995136,18,17.1458193852419
1991-05-29,4.9999392,17.5,17.1099658755587
1991-05-29,5.99992704,17.5,17.1068519761865
1991-05-29,6.99991488,17,17.1051309222641
1991-05-29,7.99990272,17,17.1041065471226
1991-05-29,8.99989056,16,17.1034763251815
1991-05-29,9.9998784,16,17.1029934473628
1991-06-10,0,19,19.2445751233717
1991-06-10,0.99998784,19,19.2445751233717
1991-06-10,1.99997568,19,19.2445751233717
1991-06-10,2.99996352,18.5,19.2445744470071
1991-06-10,3.99995136,18.5,19.2444829574739
1991-06-10,4.9999392,18,19.2296658437291
1991-06-10,5.99992704,18,19.0834772918024
1991-06-10,6.99991488,18,19.0011548252384
1991-06-24,0,19.5,20.5818732452079
1991-06-24,0.99998784,19.5,20.5818732452079
1991-06-24,1.99997568,19,20.5818732449539
1991-06-24,2.99996352,18.9,20.581866595349
1991-06-24,3.49995744,19,20.5817860646809
1991-06-24,3.699955008,18.9,20.5817538524137
1991-06-24,3.99995136,18.8,20.5783885633511
1991-06-24,4.299947712,19,20.5709743467151
1991-06-24,4.9999392,18.8,20.4924306853927
1991-06-24,5.99992704,18.5,20.4441717340795
1991-06-24,6.99991488,18.5,20.3958687886642
1991-06-24,7.99990272,18.5,20.3911944634278
1991-06-24,8.99989056,18.5,20.3887472368824
1991-06-24,9.299886912,18.4,20.3882461860764
1991-06-24,9.9998784,18.9,20.3878183498468
1991-06-24,10.99986624,18.9,20.3878185028204
1991-07-08,0,22.6,22.0383806613392
1991-07-08,0.99998784,22.7,22.0383806613392
1991-07-08,1.99997568,22.4,22.0383806612546
1991-07-08,2.99996352,21.5,22.0383797333717
1991-07-08,3.49995744,21,22.0383795729152
1991-07-08,3.99995136,21,22.0382794245591
1991-07-08,4.49994528,21,22.038248024612
1991-07-08,4.9999392,21.8,22.012669552087
1991-07-08,5.099937984,21,21.9854659978097
1991-07-08,5.99992704,21.3,21.8515205809214
1991-07-08,6.49992096,20.8,21.8483170722134
1991-07-08,6.99991488,21.5,21.8347379802363
1991-07-08,7.99990272,21.5,21.803651359143
1991-07-08,8.99989056,21.2,21.8016051415061
1991-07-08,9.49988448,20.9,21.8007528651701
1991-07-09,0,21.7,22.1845171100508
1991-07-09,0.99998784,21.5,22.184451190928
1991-07-09,1.99997568,21.5,21.9954967921001
1991-07-09,2.99996352,21.2,21.9011001155173
1991-07-09,3.99995136,21.5,21.8796193650888
1991-07-09,4.9999392,21.5,21.8452791517571
1991-07-09,5.99992704,21.5,21.6689326016905
1991-07-09,6.99991488,21.5,21.6548722241768
1991-07-09,7.99990272,21.5,21.6493766350865
1991-07-09,8.99989056,21.4,21.6463242176802
1991-07-09,9.9998784,21,21.6450737906569
1991-07-21,0.99998784,23.8,24.1658392232238
1991-07-21,1.99997568,23.5,24.1658346867219
1991-07-21,2.99996352,23.5,24.1602274691889
1991-07-21,3.99995136,23.3,24.0267372118356
1991-07-21,4.9999392,23.2,24.0160184038682
1991-07-21,5.99992704,23.1,23.9556298429069
1991-07-21,6.99991488,23.2,23.9291637771782
1991-07-21,7.99990272,23.2,23.9269926513013
1991-07-21,8.99989056,23.2,23.9258453896894
1991-07-22,0,24,24.5895440976151
1991-07-22,0.99998784,24,24.5895438042596
1991-07-22,1.99997568,24,24.5894800743986
1991-07-22,2.99996352,23,24.1675036258553
1991-07-22,3.49995744,23,24.147480716322
1991-07-22,3.99995136,23,24.1201795724579
1991-07-22,4.9999392,23,23.9859751111272
1991-07-22,5.99992704,23,23.9710637492
1991-07-22,6.99991488,23.5,23.9630081633705
1991-07-22,7.99990272,23.5,23.9586017552494
1991-07-22,8.99989056,23.5,23.9563234978268
1991-07-22,9.9998784,23.5,23.9552962731169
1991-07-22,10.49987232,23,23.9553008355401
1991-08-05,0,21.7,22.3058107334557
1991-08-05,0.99998784,21.7,22.3058105947044
1991-08-05,1.99997568,21.7,22.3057743405418
1991-08-05,2.99996352,21.7,21.9863196301871
1991-08-05,3.49995744,21,21.9405322308649
1991-08-05,3.99995136,21.7,21.8499567845311
1991-08-05,4.9999392,21.7,21.8202825607773
1991-08-05,5.99992704,21.2,21.807560565215
1991-08-05,6.99991488,21,21.8009049400491
1991-08-05,7.99990272,21,21.7974036666277
1991-08-05,8.49989664,21,21.7963862632489
1991-08-05,8.99989056,21,21.79567701596
1991-08-05,9.9998784,21,21.7949055001233
1991-08-05,10.99986624,21,21.7948837701125
1991-08-05,11.99985408,21,NA
1991-08-19,0,21.5,22.0602635788299
1991-08-19,0.99998784,21.5,22.0602635788299
1991-08-19,1.99997568,21.5,22.0602635534337
1991-08-19,2.99996352,21.5,22.0602348156771
1991-08-19,3.699955008,20.5,22.0590448271993
1991-08-19,3.99995136,21,22.0521942458969
1991-08-19,4.299947712,21,22.0252114460683
1991-08-19,4.9999392,20.8,21.9668200078119
1991-08-19,5.99992704,20.8,21.8975043581226
1991-08-19,6.99991488,20.5,21.8706030874467
1991-08-19,7.99990272,20.5,21.8680819190588
1991-08-19,8.299899072,20.5,21.8676627376075
1991-08-19,8.99989056,21,21.8669821308229
1991-08-19,9.9998784,21,21.8665119629009
1991-08-19,10.299874752,21,21.8664919446216
1991-09-02,0,21.5,21.779839348975
1991-09-02,0.99998784,21.1,21.779839348975
1991-09-02,1.99997568,20.9,21.779839348975
1991-09-02,2.99996352,21,21.779839348975
1991-09-02,3.99995136,21,21.7798393489626
1991-09-02,4.9999392,21,21.7798392136058
1991-09-02,5.99992704,21,21.779822067278
1991-09-02,6.99991488,21.9,21.7796723592002
1991-09-02,7.99990272,21.9,21.7622010225777
1991-09-02,8.99989056,21.9,21.7364976594063
1991-09-02,9.9998784,22,21.7327296041343
1991-09-04,0,20.2,21.2801041385396
1991-09-04,0.99998784,20.2,21.2801041385396
1991-09-04,1.99997568,20.2,21.2801041385396
1991-09-04,2.99996352,20.2,21.2801041385396
1991-09-04,3.7499544,20.5,21.2801041385396
1991-09-04,3.99995136,20.2,21.2801041385396
1991-09-04,4.9999392,20.2,21.2801041385396
1991-09-04,5.24993616,20,21.2801041385396
1991-09-04,5.99992704,20.2,21.2801041385396
1991-09-04,6.99991488,20,21.2801041385396
1991-09-04,7.4999088,20,21.2801041385396
1991-09-04,7.99990272,20,21.2801041385396
1991-09-04,8.99989056,20,21.2801041385396
1991-09-04,9.9998784,20,21.2801041385396
1991-09-04,10.49987232,20,21.2801041385396
1991-09-15,0,21.5,20.090160072767
1991-09-15,0.99998784,21.5,20.090160072767
1991-09-15,1.99997568,21.5,20.0901600706823
1991-09-15,2.99996352,21,20.0901473165247
1991-09-15,3.99995136,20.5,20.0812832878467
1991-09-15,4.9999392,20.5,19.9313472651035
1991-09-15,5.99992704,20,19.9058111155862
1991-09-15,6.99991488,20,19.9027639984669
1991-09-15,7.99990272,20,19.9013317478022
1991-09-15,8.99989056,20,19.9006873496876
1991-09-15,9.9998784,20,19.9003968395999
1991-09-16,0.99998784,20,20.3168606100781
1991-09-16,1.99997568,20,20.3168601302147
1991-09-16,2.99996352,20,20.3086103980678
1991-09-16,3.99995136,20,20.1138234093695
1991-09-16,4.9999392,20.2,20.0425579859163
1991-09-16,5.99992704,20.2,20.0350904209997
1991-09-17,0,17.5,19.93994367031
1991-09-17,0.99998784,17.5,19.93994367031
1991-09-17,1.99997568,17.5,19.93994367031
1991-09-17,2.99996352,17.5,19.93994367031
1991-09-17,3.99995136,17.5,19.93994367031
1991-09-17,4.9999392,17.5,19.93994367031
1991-09-17,5.99992704,17.5,19.93994367031
1991-09-17,6.99991488,17.5,19.9399436702335
1991-09-17,7.99990272,17.5,19.9399430316924
1991-09-17,8.99989056,17.5,19.939919164099
1991-09-17,9.9998784,17.5,19.9380567414095
1991-09-29,0.99998784,12.3,12.9193306379421
1991-09-29,1.99997568,12.3,12.9193305007531
1991-09-29,2.99996352,12,12.9193091788978
1991-09-29,3.99995136,12,12.8801185084298
1991-09-29,4.9999392,12,12.853894478588
1991-09-29,5.99992704,12,12.7745960173337
1991-09-29,6.99991488,12,12.7711185345368
1991-09-29,7.99990272,12,12.7697584378578
1991-09-29,8.99989056,12,12.7683293016106
1991-09-30,0,10,12.652266008127
1991-09-30,0.99998784,10,12.652266008127
1991-09-30,1.99997568,10,12.652266008127
1991-09-30,2.99996352,10,12.652266008127
1991-09-30,3.7499544,10,12.652266008127
1991-09-30,3.99995136,9.5,12.652266008127
1991-09-30,4.24994832,9.5,12.652266008127
1991-09-30,4.9999392,9.5,12.652266008127
1991-09-30,5.99992704,9.5,12.6522660081206
1991-09-30,6.99991488,9.5,12.6522659290883
1991-09-30,7.99990272,9.5,12.6522603729704
1991-09-30,8.49989664,9.5,12.6522559164884
1991-09-30,8.99989056,10,12.6521424761326
1991-10-01,0,12.5,12.4598427373636
1991-10-01,0.99998784,12,12.4598427373636
1991-10-01,1.99997568,12,12.4598427373636
1991-10-01,2.99996352,12,12.4598427373636
1991-10-01,3.99995136,12,12.4598427373063
1991-10-01,4.9999392,12,12.4598421233779
1991-10-01,5.99992704,12,12.4597907642253
1991-10-01,6.99991488,12,12.4593220200352
1991-10-01,7.99990272,12,12.4417533245331
1991-10-01,8.99989056,12,12.4321237623954
1991-10-01,9.9998784,12,12.4320462308401
1991-10-21,0.99998784,7,7.79565539668619
1991-10-21,1.99997568,7.2,7.79565539668619
1991-10-21,2.99996352,7.5,7.79565539668619
1991-10-21,3.99995136,7.2,7.79565539668619
1991-10-21,4.9999392,7.2,7.79565539668619
1991-10-21,5.99992704,7.2,7.79565539668619
1991-10-21,6.99991488,7.5,7.79565539668619
1991-10-21,7.99990272,7.5,7.79565539668619
1991-10-21,8.99989056,7.3,7.79565539668619
1991-10-22,0,8.2,7.69925173082132
1991-10-22,0.99998784,8.2,7.69925173082132
1991-10-22,1.99997568,8.2,7.69925173082132
1991-10-22,2.99996352,8.2,7.69925173082132
1991-10-22,3.99995136,8.2,7.69925173082132
1991-10-22,4.9999392,8,7.69925173082132
1991-10-22,5.99992704,8,7.69925172966877
1991-10-22,6.99991488,8,7.69923996542593
1991-10-22,7.99990272,8,7.6958015991066
1991-10-22,8.99989056,8,7.68499150512756
1991-10-22,9.9998784,7,7.67032589613405
1991-10-24,0,7.9,7.72857254593064
1991-10-24,0.99998784,7.9,7.72857254593064
1991-10-24,1.99997568,7.9,7.72857254593064
1991-10-24,2.99996352,7.9,7.72857254593064
1991-10-24,3.99995136,7.9,7.72857254590238
1991-10-24,4.9999392,7.9,7.72857224964379
1991-10-24,5.99992704,7.9,7.72854156126092
1991-10-24,6.99991488,7.9,7.72803886564586
1991-10-24,7.4999088,7.9,7.72325663263768
1991-10-24,7.99990272,7.9,7.71315967369249
1991-10-24,8.99989056,7.9,7.7056607903453
1991-10-24,9.9998784,8,7.70560580979237
1992-01-29,0,0.999999999999998,1.03910270190844
1992-01-29,0.99998784,0.499999999999999,2.00878404729511
1992-01-29,1.99997568,0.499999999999999,2.00878404729511
1992-01-29,2.99996352,0.999999999999998,2.00878404729511
1992-01-29,3.99995136,0.999999999999998,2.00878404729511
1992-01-29,4.9999392,0.999999999999998,2.00878404729511
1992-01-29,6.99991488,0.999999999999998,2.00878404729511
1992-01-29,7.99990272,2,2.00878404729511
1992-01-29,8.99989056,3.5,2.00878404729511
1992-01-30,0,0.499999999999999,1.09264733990697
1992-01-30,0.99998784,0.499999999999999,2.01204359628404
1992-01-30,1.99997568,0.499999999999999,2.01204359628404
1992-01-30,2.99996352,0.499999999999999,2.01204359628404
1992-01-30,3.99995136,0.499999999999999,2.01204359628404
1992-01-30,4.9999392,0.999999999999998,2.01204359628404
1992-01-30,5.99992704,1.5,2.01204359628404
1992-01-30,6.99991488,2,2.01204359628404
1992-01-30,7.99990272,2.5,2.01204359628404
1992-01-30,8.99989056,3,2.01204359628404
1992-01-31,0,0.499999999999999,0.99356134994899
1992-01-31,0.99998784,0.0999999999999998,2.01515584819986
1992-01-31,1.99997568,0.499999999999999,2.01515584819986
1992-01-31,2.99996352,0.499999999999999,2.01515584819986
1992-01-31,3.99995136,0.799999999999999,2.01515584819986
1992-01-31,4.9999392,0.999999999999998,2.01515584819986
1992-01-31,6.99991488,1.8,2.01515584819986
1992-01-31,7.99990272,2,2.01515584819986
1992-01-31,8.99989056,2.5,2.01515584819986
1992-01-31,9.9998784,3,2.01515584819986
1992-01-31,10.99986624,4,2.01515584819986
1992-02-25,0,12.4,0.049824544591092
1992-02-25,0.99998784,0.0999999999999998,2.13346000908914
1992-02-25,1.99997568,0.2,2.13346000908914
1992-02-25,2.99996352,0.499999999999999,2.13346000908914
1992-02-25,3.99995136,0.699999999999999,2.13346000908914
1992-02-25,4.9999392,0.999999999999998,2.13346000908914
1992-02-25,5.99992704,1.5,2.13346000908914
1992-02-25,6.99991488,2,2.13346000908914
1992-02-25,7.99990272,3,2.13346000908914
1992-02-25,8.99989056,4,2.13346000908914
1992-02-25,9.9998784,4,2.13346000908914
1992-02-26,0,0.999999999999998,0.231032572185583
1992-02-26,0.99998784,0.499999999999999,2.13952649084201
1992-02-26,1.99997568,0.750000000000001,2.13952649084201
1992-02-26,2.99996352,0.999999999999998,2.13952649084201
1992-02-26,3.99995136,0.999999999999998,2.13952649084201
