"DateTime"	"Depth"	"temp"
2014-05-30	0	14.8
2014-05-30	0.9144	16.2
2014-05-30	1.8288	16.1
2014-05-30	2.7432	15.4
2014-05-30	3.6576	11.4
2014-05-30	4.572	9.5
2014-05-30	5.4864	8.9
2014-05-30	6.4008	8.2
2014-05-30	7.3152	7.9
2014-05-30	8.2296	7.8
2014-05-30	8.8392	9.3
2014-05-30	9.144	7.8
2014-05-30	10.0584	7.7
2014-05-30	10.9728	7.5
2014-06-17	0	16.8
2014-06-17	0.9144	16.6
2014-06-17	1.8288	16.4
2014-06-17	2.7432	16.3
2014-06-17	3.6576	16.3
2014-06-17	4.572	16.3
2014-06-17	5.4864	16.3
2014-06-17	6.4008	16.2
2014-06-17	7.3152	16.1
2014-06-17	8.2296	15.9
2014-06-17	8.8392	16.4
2014-06-17	9.144	15.9
2014-06-17	10.0584	15.8
2014-06-17	10.9728	16
2014-07-03	0	19.4
2014-07-03	0.9144	19.4
2014-07-03	1.8288	19.4
2014-07-03	2.7432	19.4
2014-07-03	3.6576	19.4
2014-07-03	4.572	19.4
2014-07-03	5.4864	19.3
2014-07-03	6.4008	19.3
2014-07-03	7.3152	19.3
2014-07-03	8.2296	19.3
2014-07-03	8.5344	19.8
2014-07-03	9.144	19.3
2014-07-03	10.0584	19.2
2014-07-03	10.9728	19.4
2014-07-16	0	20
2014-07-16	0.9144	20.2
2014-07-16	1.8288	20.1
2014-07-16	2.7432	20
2014-07-16	3.6576	20
2014-07-16	4.572	19.9
2014-07-16	5.4864	19.9
2014-07-16	6.4008	19.8
2014-07-16	7.3152	19.8
2014-07-16	8.2296	19.8
2014-07-16	9.144	19.8
2014-07-16	10.0584	19.8
2014-07-16	10.9728	19.9
2014-08-12	0	22.3
2014-08-12	0.9144	22.3
2014-08-12	1.8288	22.3
2014-08-12	2.7432	22.3
2014-08-12	3.6576	22.3
2014-08-12	4.572	22.3
2014-08-12	5.4864	22.3
2014-08-12	6.4008	22.2
2014-08-12	7.3152	22.2
2014-08-12	8.2296	22.2
2014-08-12	9.144	22.2
2014-08-12	10.0584	22.2
2014-09-02	0	21.1111111111111
2014-09-04	0	20.5555555555556
2014-09-08	0	18.8888888888889
2014-09-11	0	17.2222222222222
2014-09-14	0	16.5
2014-09-14	0.9144	16.6
2014-09-14	1.8288	16.6
2014-09-14	2.7432	16.6
2014-09-14	3.6576	16.6
2014-09-14	4.572	16.6
2014-09-14	5.4864	16.6
2014-09-14	6.4008	16.5
2014-09-14	7.3152	16.5
2014-09-14	8.2296	16.5
2014-09-14	9.144	16.3
2014-09-14	10.0584	16.2
2014-09-14	10.9728	16.7
2015-05-01	0	8.3
2015-05-01	0.9144	8.4
2015-05-01	1.8288	8.2
2015-05-01	2.7432	8.2
2015-05-01	3.6576	8.1
2015-05-01	4.572	8
2015-05-01	5.4864	8
2015-05-01	6.4008	7.9
2015-05-01	7.3152	7.3
2015-05-01	8.2296	6.6
2015-05-01	9.144	7.5
2015-05-01	10.0584	6.9
2015-05-01	10.9728	6.8
2015-05-20	0	11.4
2015-05-20	0.9144	11.4
2015-05-20	1.8288	11.1
2015-05-20	2.7432	11
2015-05-20	3.6576	11
2015-05-20	4.572	10.9
2015-05-20	5.4864	10.9
2015-05-20	6.4008	10.8
2015-05-20	7.3152	10.8
2015-05-20	8.2296	10.7
2015-05-20	9.144	10.7
2015-05-20	10.0584	10.7
2015-05-20	10.9728	10.6
2015-06-04	0	14.8
2015-06-04	0.9144	14.8
2015-06-04	1.8288	14.7
2015-06-04	2.7432	14.6
2015-06-04	3.6576	14.5
2015-06-04	4.572	14.4
2015-06-04	5.4864	14.4
2015-06-04	6.4008	14.4
2015-06-04	7.3152	14.3
2015-06-04	8.2296	14.3
2015-06-04	9.144	14.3
2015-06-04	10.0584	14.2
2015-06-04	10.9728	14.1
2015-06-15	0	19.1
2015-06-15	0.9144	19.1
2015-06-15	1.8288	19.1
2015-06-15	2.7432	19.1
2015-06-15	3.6576	19.1
2015-06-15	4.572	19.1
2015-06-15	5.4864	19.1
2015-06-15	6.4008	19
2015-06-15	7.3152	18.9
2015-06-15	8.2296	16.8
2015-06-15	9.144	16.5
2015-06-15	10.0584	15.9
2015-06-30	0	21.4
2015-06-30	0.9144	21.4
2015-06-30	1.8288	21.4
2015-06-30	2.7432	21.4
2015-06-30	3.6576	21.4
2015-06-30	4.572	21.4
2015-06-30	5.4864	21.4
2015-06-30	6.4008	21.4
2015-06-30	7.3152	19.9
2015-06-30	8.2296	19.7
2015-06-30	9.144	21.3
2015-06-30	10.0584	20.1
2015-07-15	0	21.9
2015-07-15	0.9144	21.9
2015-07-15	1.8288	21.9
2015-07-15	2.7432	21.5
2015-07-15	3.6576	21.9
2015-07-15	4.572	21.9
2015-07-15	5.4864	21.9
2015-07-15	6.4008	21.9
2015-07-15	7.3152	21.9
2015-07-15	8.2296	21.9
2015-07-15	9.144	21.9
2015-07-15	10.0584	21.7
2015-07-15	10.9728	22.1
2015-08-12	0	22.9
2015-08-12	0.9144	22.9
2015-08-12	1.8288	22.9
2015-08-12	2.7432	22.9
2015-08-12	3.6576	22.8
2015-08-12	4.572	22.8
2015-08-12	5.4864	22.7
2015-08-12	6.4008	22.7
2015-08-12	7.3152	22.7
2015-08-12	8.2296	22.6
2015-08-12	9.144	22.5
2015-08-12	10.0584	22.4
2015-08-31	0	20
2015-09-01	0	24.4444444444444
2015-09-08	0	20.5555555555556
2015-09-09	0	18.8888888888889
2015-09-14	0	19.1
2015-09-14	0.9144	19.4
2015-09-14	1.8288	19.1
2015-09-14	2.7432	19
2015-09-14	3.6576	18.9
2015-09-14	4.572	18.8
2015-09-14	5.4864	18.8
2015-09-14	6.4008	18.7
2015-09-14	7.3152	18.7
2015-09-14	8.2296	18.7
2015-09-14	9.144	18.7
2015-09-14	10.0584	18.7
2015-10-19	0	11.1
2015-10-19	0.9144	11.2
2015-10-19	2.7432	11.4
2015-10-19	4.572	11.1
2015-10-19	6.4008	11.2
2015-10-19	8.2296	11.1
2015-10-19	10.0584	11.1
2015-10-19	10.9728	11.4
2016-04-29	0	6.9
2016-04-29	0.03048	6.9
2016-04-29	0.9144	6.9
2016-04-29	1.8288	6.5
2016-04-29	2.7432	6.3
2016-04-29	3.6576	6.3
2016-04-29	4.572	6.2
2016-04-29	5.4864	6.2
2016-04-29	6.4008	6.2
2016-04-29	7.3152	6.1
2016-04-29	8.2296	6.1
2016-04-29	9.144	6.1
2016-04-29	10.0584	6.1
2016-04-29	10.9728	6.1
2016-05-16	0	10.2
2016-06-02	0	15
2016-06-02	0.03048	16.6
2016-06-02	0.9144	16.6
2016-06-02	1.8288	16
2016-06-02	2.7432	15.7
2016-06-02	3.6576	15.6
2016-06-02	4.572	15.5
2016-06-02	5.4864	15.4
2016-06-02	6.4008	15.3
2016-06-02	7.3152	15.2
2016-06-02	8.2296	15.2
2016-06-02	9.144	15.2
2016-06-02	10.0584	15.1
2016-06-13	0	17.5
2016-06-13	0.03048	17.5
2016-06-13	0.9144	17.5
2016-06-13	1.8288	17.5
2016-06-13	2.7432	17.5
2016-06-13	3.6576	17.5
2016-06-13	4.572	17.5
2016-06-13	5.4864	17.5
2016-06-13	6.4008	17.4
2016-06-13	7.3152	17.3
2016-06-13	8.2296	17.3
2016-06-13	9.144	17.3
2016-06-13	10.0584	17.4
2016-06-13	10.9728	17.5
2016-06-28	0	20.8
2016-06-28	0.03048	20.6
2016-06-28	0.9144	20.5
2016-06-28	1.8288	20.4
2016-06-28	2.7432	20.3
2016-06-28	3.6576	20.3
2016-06-28	4.572	20.3
2016-06-28	5.4864	20.3
2016-06-28	6.4008	20.3
2016-06-28	7.3152	20.3
2016-06-28	8.2296	20.3
2016-06-28	9.144	20.3
2016-06-28	10.0584	20.3
2016-06-28	10.9728	20.2
2016-07-18	0	21.7
2016-07-18	0.03048	21.8
2016-07-18	0.9144	21.7
2016-07-18	1.8288	21.6
2016-07-18	2.7432	21.5
2016-07-18	3.6576	21.5
2016-07-18	4.572	21.4
2016-07-18	5.4864	21.4
2016-07-18	6.4008	21.4
2016-07-18	7.3152	21.4
2016-07-18	8.2296	21.4
2016-07-18	8.8392	21.8
2016-07-18	9.144	21.4
2016-07-18	10.0584	21.4
2016-07-18	10.9728	21.6
2016-07-25	0	22.8
2016-08-15	0	23.5
2016-08-15	0.9144	23.6
2016-08-15	1.8288	23.6
2016-08-15	2.7432	23.6
2016-08-15	3.6576	23.6
2016-08-15	4.572	23.6
2016-08-15	5.4864	23.5
2016-08-15	6.4008	23.5
2016-08-15	7.3152	23.5
2016-08-15	8.2296	23.5
2016-08-15	9.144	23.5
2016-08-15	10.0584	23.4
2016-08-15	10.9728	23.5
2016-08-31	0	20
2016-09-06	0	21.6666666666667
2016-09-07	0	20.8333333333333
2016-09-12	0	19.9
1993-09-15	0	13.8888888888889
1993-09-16	0	13.8888888888889
1993-09-17	0	13.8888888888889
1993-09-20	0	13.3333333333333
1993-09-21	0	13.3333333333333
1993-09-22	0	13.3333333333333
1994-09-12	0	18.8888888888889
1994-09-13	0	18.8888888888889
1994-09-14	0	18.3333333333333
1994-09-16	0	18.3333333333333
1994-09-19	0	18.3333333333333
1994-09-20	0	18.3333333333333
1994-09-21	0	18.3333333333333
1994-09-22	0	18.3333333333333
1995-09-12	0	18.8888888888889
1995-09-13	0	18.8888888888889
1995-09-14	0	18.8888888888889
1995-09-15	0	18.8888888888889
1995-09-18	0	17.7777777777778
1995-09-19	0	17.7777777777778
1995-09-20	0	16.6666666666667
1995-09-21	0	14.4444444444444
1996-09-16	0	18.8888888888889
1996-09-17	0	18.3333333333333
1996-09-18	0	17.2222222222222
1996-09-19	0	17.2222222222222
1996-09-20	0	17.2222222222222
1996-09-24	0	16.6666666666667
1996-09-25	0	16.1111111111111
1996-09-26	0	15.5555555555556
1997-09-18	0	18.3333333333333
1997-09-19	0	18.8888888888889
1997-09-23	0	16.6666666666667
1997-09-24	0	14.4444444444444
1997-09-25	0	17.2222222222222
1997-09-29	0	14.4444444444444
1997-10-01	0	15
1998-09-17	0	18.8888888888889
1998-09-18	0	20
